title,platform,genre,rating
Back 4 Blood,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore, Drug Reference, Intense Violence, Strong Language",Mature 17+
The House of the Dead - Remake,Nintendo Switch,"Blood and Gore, Partial Nudity, Violence",Mature 17+
Among Us - Impostor Edition,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Fantasy Violence, Mild Blood",Everyone 10+
The Jackbox Party Pack 7,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Comic Mischief, Drug Reference, Mild Language, Mild Sexual Themes",Teen
Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood, Drug Reference, Language, Simulated Gambling, Suggestive Themes, Use of Alcohol, Violence",Teen
HITMAN Trilogy,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood, Intense Violence, Sexual Themes, Strong Language, Use of Drugs and Alcohol",Mature 17+
JoJo's Bizarre Adventure: All Star Battle R,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Language, Mild Blood, Suggestive Themes, Use of Tobacco, Violence",Teen
Isonzo - Deluxe Edition,"PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore, Violence",Mature 17+
Zombie Army 4: Dead War,Nintendo Switch,"Blood and Gore, Intense Violence, Language",Mature 17+
Road 96,"PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Drug Reference, Language, Mild Blood, Suggestive Themes, Use of Alcohol and Tobacco, Violence",Teen
The Legend of Heroes: Trails from Zero,"Windows PC, PlayStation 4, Nintendo Switch","Fantasy Violence, Language, Simulated Gambling, Suggestive Themes, Use of Drugs",Teen
Vampire: The Masquerade - Swansong,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood and Gore, Drug Reference, Intense Violence, Partial Nudity, Sexual Content, Strong Language",Mature 17+
Hatsune Miku: Project DIVA Mega Mix+,Windows PC,"Fantasy Violence, Language, Mild Blood, Suggestive Themes",Teen
STAR WARS Knights of the Old Republic II - The Sith Lords,Nintendo Switch,"Mild Blood, Mild Suggestive Themes, Violence",Teen
GTFO,Windows PC,"Blood and Gore, Strong Language, Violence",Mature 17+
AI: THE SOMNIUM FILES - nirvanA Initiative,"PlayStation 4, Nintendo Switch, Xbox One","Blood, Strong Language, Suggestive Themes, Violence",Mature 17+
Madden NFL 23,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series",Mild Lyrics,Everyone
NBA 2K23,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One",No Descriptors,Everyone
Digimon Survive,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One, Xbox Series","Crude Humor, Fantasy Violence, Language, Mild Blood",Teen
Thymesia,"PlayStation 5, Xbox Series","Blood, Violence",Mature 17+
Slaycation Paradise,"PlayStation 4, PlayStation 5, Stadia, Nintendo Switch, Xbox One, Xbox Series","Blood and Gore, Strong Language, Suggestive Themes, Violence",Mature 17+
Atari 50: The Anniversary Celebration,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood, Drug Reference, Fantasy Violence, Language, Mild Sexual Themes",Teen
PAW Patrol Grand Prix,"Windows PC, PlayStation 4, PlayStation 5, Stadia, Nintendo Switch, Xbox One, Xbox Series",No Descriptors,Everyone
Suikoden I HD Remaster Gate Rune War,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Fantasy Violence, Language, Mild Suggestive Themes, Simulated Gambling",Everyone 10+
F.I.S.T.: Forged In Shadow Torch,"PlayStation 4, PlayStation 5, Nintendo Switch","Fantasy Violence, Language, Mild Suggestive Themes, Use of Alcohol",Everyone 10+
Chaos;Child,Nintendo Switch,"Blood and Gore, Intense Violence, Partial Nudity, Sexual Themes, Strong Language",Mature 17+
V Rising,Windows PC,"Blood, Violence",Teen
Honkai: Star Rail,Windows PC,"Fantasy Violence, Mild Suggestive Themes",Teen
Wanted: Dead,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore, Intense Violence, Strong Language, Suggestive Themes",Mature 17+
Octopath Traveler II,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch","Fantasy Violence, Mild Blood, Mild Language, Suggestive Themes, Use of Alcohol and Tobacco",Teen
Vampire the Masquerade - Coteries of New York,"PlayStation 4, Nintendo Switch","Blood, Mild Violence, Sexual Themes, Strong Language",Mature 17+
Chroma Quaternion,"PlayStation 4, PlayStation 5",Fantasy Violence,Everyone 10+
All Nude Cyber,"Macintosh, Windows PC",Strong Sexual Content,Adults Only 18+
WET - The Sexy Empire,Windows PC,Strong Sexual Content,Adults Only 18+
STARCRAFT,"Macintosh, Windows PC","Animated Blood and Gore, Strong Language",Teen
All Nude Nikki,"Macintosh, Windows PC",Strong Sexual Content,Adults Only 18+
The Sims,Windows PC,"Comic Mischief, Mature Sexual Themes, Mild Animated Violence",Teen
Snow Drop,Windows PC,Strong Sexual Content,Adults Only 18+
Water Closet: The Forbidden Chamber,Windows PC,Strong Sexual Content,Adults Only 18+
Peak Entertainment Casinos,"Online, Windows PC",Gambling,Adults Only 18+
Fahrenheit: Indigo Prophecy Director's Cut: PC CD ROM,Windows PC,"Blood, Nudity, Strong Language, Strong Sexual Content, Use of Drugs and Alcohol, Violence",Adults Only 18+
Half-Life 1 Deathmatch: Source,Windows PC,"Blood, Violence",Mature 17+
Fallout 3,"Windows PC, PlayStation 3, Xbox 360, Xbox One","Blood and Gore, Intense Violence, Sexual Themes, Strong Language, Use of Drugs",Mature 17+
Fable II,"Xbox 360, Xbox One","Blood, Language, Sexual Content, Use of Alcohol, Violence",Mature 17+
The Sims 3,"Macintosh, Windows PC","Crude Humor, Sexual Themes, Violence",Teen
Grand Theft Auto: Episodes from Liberty City,"Windows PC, PlayStation 3","Blood and Gore, Intense Violence, Nudity, Strong Language, Strong Sexual Content, Use of Drugs and Alcohol",Mature 17+
Dragon Age II,"Macintosh, Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Language, Sexual Content, Violence",Mature 17+
Sonic Adventure™ 2,"Windows PC, PlayStation 3, Xbox 360","Mild Cartoon Violence, Mild Lyrics",Everyone 10+
Call of Duty: Black Ops II,"Windows PC, PlayStation 3, Wii U, Xbox 360, Xbox One","Blood and Gore, Intense Violence, Strong Language, Suggestive Themes, Use of Drugs",Mature 17+
Need for Speed™ Most Wanted,"Windows PC, PlayStation 3, PS Vita, Xbox 360","Alcohol Reference, Comic Mischief, Violence",Everyone 10+
Ryse: Son of Rome,Xbox One,"Blood and Gore, Intense Violence, Partial Nudity, Sexual Content, Strong Language",Mature 17+
Titanfall,"Windows PC, Xbox One","Blood and Gore, Strong Language, Violence",Mature 17+
The Elder Scrolls Online,"Macintosh, Windows PC, PlayStation 4, Stadia, Xbox One","Blood and Gore, Sexual Themes, Use of Alcohol, Violence",Mature 17+
Batman Arkham Origins: Blackgate - Deluxe Edition,"Windows PC, PlayStation 3, Wii U, Xbox 360","Blood, Mild Language, Mild Suggestive Themes, Use of Tobacco, Violence",Teen
Far Cry 4,"Windows PC, PlayStation 4, Stadia, Xbox One","Blood, Intense Violence, Nudity, Sexual Themes, Strong Language, Use of Drugs",Mature 17+
The Wolf Among Us,"Macintosh, Windows PC, PlayStation 3, PS Vita, Xbox 360","Blood and Gore, Drug Reference, Intense Violence, Partial Nudity, Sexual Themes, Strong Language, Use of Tobacco",Mature 17+
Phoenix Wright: Ace Attorney Trilogy,"Nintendo 3DS, Nintendo Switch, PlayStation 4, Xbox One","Violence, Blood, Suggestive Themes, Use of Tobacco",Teen
Dying Light,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Strong Language",Mature 17+
WARFRAME,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Violence",Mature 17+
Devil May Cry 4 Special Edition,"PlayStation 4, Windows PC, Xbox One","Violence, Blood, Sexual Themes, Partial Nudity, Language",Mature 17+
Halo 5: Guardians,Xbox One,"Blood, Mild Language, Violence",Teen
Grand Theft Auto III,PlayStation 4,"Blood, Strong Language, Violence",Mature 17+
Dying Light: The Following - Enhanced Edition,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Strong Language",Mature 17+
The Witcher 2: Assassins of Kings Enhanced Edition,"Xbox 360, Xbox One","Blood and Gore, Intense Violence, Nudity, Strong Language, Strong Sexual Content, Use of Drugs",Mature 17+
Mirror's Edge™ Catalyst,"Windows PC, PlayStation 4, Xbox One","Mild Language, Violence",Teen
Homefront: The Revolution,"Windows PC, PlayStation 4, Xbox One","Blood, Drug Reference, Intense Violence, Strong Language, Suggestive Themes",Mature 17+
Battlefield 1,"Windows PC, PlayStation 4, Xbox One","Blood, Strong Language, Violence",Mature 17+
Subnautica,"Windows PC, Xbox One","Fantasy Violence, Mild Language",Everyone 10+
INSIDE,"Macintosh, Windows PC, PlayStation 4, Xbox One","Blood and Gore, Violence",Mature 17+
I Expect You To Die,PlayStation 4,"Fantasy Violence, Alcohol Reference, Use of Tobacco",Everyone 10+
Danganronpa 1•2 Reload,"Windows PC, PlayStation 4","Blood, Intense Violence, Sexual Themes, Strong Language",Mature 17+
For Honor,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence",Mature 17+
Tales of Berseria,"Windows PC, PlayStation 4","Blood, Mild Language, Mild Suggestive Themes, Partial Nudity, Use of Alcohol, Violence",Teen
Kingdom Hearts HD 1.5 + 2.5 ReMIX,"Windows PC, PlayStation 4","Fantasy Violence, Mild Blood, Use of Alcohol",Everyone 10+
Prey,"Windows PC, PlayStation 4, Xbox One","Blood, Language, Use of Alcohol, Violence",Mature 17+
Stardew Valley,"Windows PC, PlayStation 4, Xbox One","Fantasy Violence, Mild Blood, Mild Language, Simulated Gambling, Use of Alcohol and Tobacco",Everyone 10+
Lethal League,"PlayStation 4, Xbox One","Fantasy Violence, Mild Language",Everyone 10+
Diablo III: Eternal Collection,"PlayStation 4, Xbox One","Blood and Gore, Partial Nudity, Violence",Mature 17+
ICEY,"Nintendo Switch, PlayStation 4","Fantasy Violence, Mild Blood, Mild Language",Everyone 10+
Super Mario Odyssey,Nintendo Switch,"Cartoon Violence, Comic Mischief",Everyone 10+
Call of Duty®: WWII,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Strong Language",Mature 17+
SHADOW OF THE COLOSSUS,PlayStation 4,"Blood, Violence",Teen
Hello Neighbor,"PlayStation 4, Xbox One",Mild Violence,Everyone 10+
Rocket League,"Windows PC, PlayStation 4, Xbox One",Mild Lyrics,Everyone
DRAGON BALL FighterZ,"Windows PC, PlayStation 4, Xbox One","Cartoon Violence, Mild Language, Mild Suggestive Themes",Teen
State of Decay 2,"Windows PC, Xbox One","Blood and Gore, Drug Reference, Intense Violence, Strong Language",Mature 17+
Vampyr,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Sexual Themes, Strong Language, Use of Drugs",Mature 17+
Gal*Gun 2,PlayStation 4,Sexual Themes,Mature 17+
Yakuza: Kiwami 2,"PlayStation 4, Xbox One","Blood, Intense Violence, Sexual Themes, Strong Language, Use of Alcohol",Mature 17+
NARUTO TO BORUTO: SHINOBI STRIKER,"Windows PC, PlayStation 4, Xbox One","Cartoon Violence, Mild Language",Teen
Slime Rancher,"PlayStation 4, Xbox One",Fantasy Violence,Everyone 10+
The World Ends With You: Final Remix,Nintendo Switch,"Fantasy Violence, Mild Language, Mild Suggestive Themes",Teen
FINAL FANTASY X/X2 HD Remaster,Nintendo Switch,"Mild Blood, Mild Language, Suggestive Themes, Violence",Teen
Call of Cthulhu,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Blood and Gore, Intense Violence, Strong Language, Use of Alcohol",Mature 17+
Super Meat Boy,PlayStation 4,"Animated Blood, Cartoon Violence, Crude Humor, Language",Teen
DEAD OR ALIVE 6,"Windows PC, PlayStation 4, Xbox One","Blood, Language, Sexual Themes, Violence",Mature 17+
Marvel Ultimate Alliance 3: The Black Order,Nintendo Switch,"Mild Blood, Mild Suggestive Themes, Violence",Teen
Mary Skelter 2,Nintendo Switch,"Blood, Partial Nudity, Sexual Themes, Violence",Mature 17+
Marvel's Spider-Man,PlayStation 4,"Blood, Drug Reference, Language, Violence",Teen
Torchlight II,"PlayStation 4, Nintendo Switch, Xbox One","Blood and Gore, Violence",Teen
Terminator: Resistance,"Windows PC, PlayStation 4, Xbox One","Blood, Sexual Content, Strong Language, Violence",Mature 17+
Death Stranding,PlayStation 4,"Blood, Intense Violence, Partial Nudity, Strong Language",Mature 17+
Halo: The Master Chief Collection,Windows PC,"Blood and Gore, Language, Violence",Mature 17+
Ancestors: The Humankind Odyssey,"PlayStation 4, Windows PC, Xbox One","Violence, Blood, Partial Nudity",Teen
Life is Strange 2 Complete Season,"Windows PC, PlayStation 4, Xbox One","Blood, Partial Nudity, Sexual Content, Strong Language, Use of Drugs and Alcohol, Violence",Mature 17+
Yakuza 5,PlayStation 4,"Blood, Intense Violence, Partial Nudity, Sexual Themes, Strong Language, Use of Alcohol",Mature 17+
Those Who Remain,"Windows PC, PlayStation 4, Stadia, Nintendo Switch, Xbox One","Blood, Partial Nudity, Strong Language, Violence",Mature 17+
Saints Row: The Third Remastered,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore, Drug Reference, Intense Violence, Partial Nudity, Sexual Content, Strong Language",Mature 17+
Halo 2: Anniversary,Windows PC,"Blood and Gore, Language, Violence",Mature 17+
Tony Hawk's Pro Skater 1 and 2,"Windows PC, PlayStation 4, Xbox One",Lyrics,Teen
SENRAN KAGURA Reflexions,Nintendo Switch,Sexual Themes,Mature 17+
Dying Light: The Following - Enhanced Edition,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Strong Language",Mature 17+
Watch Dogs Complete Edition,"Windows PC, PlayStation 4, PlayStation 5, Stadia, Xbox One, Xbox Series","Blood, Intense Violence, Nudity, Strong Language, Strong Sexual Content, Use of Drugs and Alcohol",Mature 17+
Fire Emblem: Shadow Dragon & the Blade of Light,Nintendo Switch,"Mild Fantasy Violence, Mild Language",Everyone
Destiny 2,"PlayStation 5, Xbox Series","Blood, Language, Violence",Teen
Call of Duty®: Warzone™,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Strong Language, Suggestive Themes, Use of Drugs, Violence",Mature 17+
Katana Zero,"PlayStation 4, Nintendo Switch, Xbox One","Blood and Gore, Strong Language, Suggestive Themes, Use of Drugs and Alcohol, Violence",Mature 17+
Shin Megami Tensei III Nocturne HD Remaster,"PlayStation 4, Nintendo Switch","Blood, Partial Nudity, Sexual Themes, Strong Language, Violence",Mature 17+
The Legend of Zelda: Skyward Sword HD,Nintendo Switch,"Animated Blood, Comic Mischief, Fantasy Violence",Everyone 10+
Riders Republic,"Windows PC, PlayStation 4, PlayStation 5, Stadia, Xbox One, Xbox Series",Lyrics,Teen
Lost Ark,Windows PC,"Blood and Gore, Language, Suggestive Themes, Use of Alcohol, Violence",Mature 17+
Warioware Get It Together!,Nintendo Switch,"Cartoon Violence, Crude Humor",Everyone 10+
Tom Clancy's Rainbow Six® Extraction,"Windows PC, PlayStation 4, PlayStation 5, Stadia, Xbox One, Xbox Series","Blood, Drug Reference, Strong Language, Violence",Mature 17+
The Great Ace Attorney Chronicles,Nintendo Switch,"Blood, Violence",Teen
Far Cry 3: Blood Dragon Classic Edition,"Windows PC, PlayStation 4, PlayStation 5, Stadia, Xbox One, Xbox Series","Blood, Partial Nudity, Sexual Content, Strong Language, Violence",Mature 17+
FATAL FRAME: Maiden of Black Water,"Windows PC, PlayStation 4","Blood, Suggestive Themes, Violence",Mature 17+
Quake,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood and Gore, Violence",Mature 17+
BPM: BULLETS PER MINUTE,PlayStation 4,Violence,Teen
Lost in Random,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Fantasy Violence, Language, Use of Alcohol",Everyone 10+
Grand Theft Auto III—The Definitive Edition,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood and Gore, Drug Reference, Intense Violence, Sexual Content, Strong Lyrics",Mature 17+
Kirby and the Forgotten Land,Nintendo Switch,Cartoon Violence,Everyone 10+
Persona 4 Arena Ultimax,Windows PC,"Language, Mild Blood, Suggestive Themes, Use of Tobacco, Violence",Teen
Triangle Strategy,Nintendo Switch,"Blood, Fantasy Violence, Language, Mild Suggestive Themes, Use of Alcohol",Teen
The Ascent,"PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore, Drug Reference, Sexual Themes, Strong Language, Violence",Mature 17+
As Dusk Falls,"Windows PC, Xbox One, Xbox Series","Blood, Strong Language, Suggestive Themes, Use of Drugs and Alcohol, Violence",Mature 17+
Assassin's Creed Valhalla: Dawn of Ragnarök,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore, Intense Violence, Partial Nudity, Sexual Themes, Strong Language, Use of Drugs and Alcohol",Mature 17+
THE KING OF FIGHTERS XV,"PlayStation 4, PlayStation 5, Xbox Series","Language, Suggestive Themes, Use of Tobacco, Violence",Teen
Death Stranding Director's Cut,Windows PC,"Blood, Intense Violence, Partial Nudity, Strong Language",Mature 17+
Alfred Hitchcock - Vertigo,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood, Intense Violence, Sexual Themes, Strong Language, Use of Drugs",Mature 17+
MADiSON,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox Series","Blood and Gore, Partial Nudity, Strong Language, Violence",Mature 17+
Diablo Immortal,Windows PC,"Blood and Gore, Violence",Mature 17+
Tales from the Borderlands,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood and Gore, Drug Reference, Sexual Themes, Strong Language, Violence",Mature 17+
New Tales from the Borderlands,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood and Gore, Intense Violence, Partial Nudity, Sexual Themes, Strong Language, Use of Alcohol",Mature 17+
GUNDAM EVOLUTION,Windows PC,"Mild Language, Violence",Teen
Mount & Blade II: Bannerlord,"PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood, Violence",Mature 17+
RWBY: Arrowfell,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",Fantasy Violence,Everyone 10+
The Chant,"Windows PC, PlayStation 5, Xbox Series","Blood and Gore, Strong Language, Use of Drugs, Violence",Mature 17+
SIFU,Nintendo Switch,"Blood, Drug Reference, Strong Language, Violence",Mature 17+
Airborne Kingdom,"PlayStation 4, Nintendo Switch",No Descriptors,Everyone
Redout 2,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Mild Fantasy Violence, Mild Language",Everyone
RESIDENT EVIL 2,"GameCube, Windows PC, PlayStation 3, PlayStation/PS one, PSP","Blood and Gore, Violence",Mature 17+
Call of Duty,"Online, Windows PC","Blood, Violence",Teen
Counter-Strike: Condition Zero,"Online, Windows PC","Blood and Gore, Drug Reference, Intense Violence",Mature 17+
Assassin's Creed,"Windows PC, PlayStation 3, Xbox 360","Blood, Strong Language, Violence",Mature 17+
Mount & Blade: Warband,Windows PC,"Alcohol Reference, Blood, Mild Language, Mild Suggestive Themes, Violence",Teen
Halo: Reach,"Xbox 360, Xbox One","Blood, Violence",Mature 17+
Red Dead Redemption Undead Nightmare,"PlayStation 3, Xbox 360, Xbox One","Blood and Gore, Intense Violence, Sexual Themes, Strong Language",Mature 17+
Binary Domain,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence, Strong Language, Suggestive Themes",Mature 17+
Halo 4,"Windows PC, Xbox 360","Blood, Violence",Mature 17+
War Thunder,"PlayStation 4, Windows PC",Violence,Teen
Middle-Earth: Shadow of Mordor,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence",Mature 17+
Assassin's Creed Unity,"Windows PC, PlayStation 4, Stadia, Xbox One","Blood and Gore, Intense Violence, Sexual Themes, Strong Language, Use of Alcohol",Mature 17+
DmC Devil May Cry: Definitive Edition,"PlayStation 4, Xbox One","Blood and Gore, Drug Reference, Intense Violence, Nudity, Sexual Content, Strong Language",Mature 17+
Assassin's Creed Syndicate,"Windows PC, PlayStation 4, Stadia, Xbox One","Blood, Drug Reference, Strong Language, Violence",Mature 17+
Just Cause 3,"Windows PC, PlayStation 4, Xbox One","Blood, Intense Violence, Strong Language",Mature 17+
Call of Duty: Black Ops III,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Drug Reference, Intense Violence, Strong Language",Mature 17+
Life is Strange,"Windows PC, PlayStation 4, Xbox One","Blood, Intense Violence, Sexual Themes, Strong Language, Use of Drugs and Alcohol",Mature 17+
Far Cry Primal,"Windows PC, PlayStation 4, Stadia, Xbox One","Blood and Gore, Intense Violence, Nudity, Sexual Content",Mature 17+
Broforce,PlayStation 4,"Violence, Blood and Gore, Mild Language, Use of Tobacco",Teen
Manhunt,PlayStation 4,"Blood and Gore, Intense Violence, Strong Language",Mature 17+
Rocket League,"Windows PC, PlayStation 4, Xbox One",Mild Lyrics,Everyone
ONE PIECE BURNING BLOOD,"Windows PC, PlayStation 4, Xbox One","Blood, Suggestive Themes, Use of Tobacco, Violence",Teen
Resident Evil 4,"PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Language",Mature 17+
American Truck Simulator,"Macintosh, Windows PC",No Descriptors,Everyone
Assassin's Creed: The Ezio Collection,"PlayStation 4, Xbox One","Blood, Intense Violence, Sexual Content, Strong Language",Mature 17+
TEKKEN 7,"Windows PC, PlayStation 4, Xbox One","Crude Humor, Mild Blood, Mild Language, Suggestive Themes, Violence",Teen
SUPERHOT VR,"Macintosh, Windows PC, PlayStation 4, Xbox One",Violence,Teen
PLAYERUNKNOWN'S BATTLEGROUNDS,Windows PC,"Violence, Blood",Teen
Undertale,"PlayStation 4, PS Vita","Fantasy Violence, Mild Blood, Mild Language, Use of Tobacco",Everyone 10+
Middle-Earth: Shadow of War,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence",Mature 17+
The Elder Scrolls V: Skyrim,Nintendo Switch,"Blood and Gore, Intense Violence, Sexual Themes, Use of Alcohol",Mature 17+
Monster Hunter: World,"Windows PC, PlayStation 4, Xbox One","Blood, Mild Language, Use of Alcohol, Violence",Teen
Devil May Cry HD Collection,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Language, Partial Nudity, Violence",Mature 17+
Sea of Thieves,"Windows PC, Xbox One","Crude Humor, Use of Alcohol, Violence",Teen
Gal*Gun 2,Nintendo Switch,Sexual Themes,Mature 17+
Labyrinth of Refrain: Coven of Dusk,"Windows PC, PlayStation 4, Nintendo Switch","Partial Nudity, Sexual Themes, Strong Language, Violence",Mature 17+
Agony,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Nudity, Strong Language, Strong Sexual Content",Mature 17+
Batman: The Enemy Within,Nintendo Switch,"Blood and Gore, Intense Violence, Language",Mature 17+
Divinity: Original Sin 2 - Definitive Edition,"Macintosh, Windows PC, PlayStation 4, Xbox One","Blood and Gore, Language, Sexual Themes, Violence",Mature 17+
Shadow of the Tomb Raider,"Windows PC, PlayStation 4, Stadia, Xbox One","Blood and Gore, Intense Violence, Strong Language",Mature 17+
Octopath Traveler,Nintendo Switch,"Blood, Fantasy Violence, Mild Language, Suggestive Themes, Use of Alcohol",Teen
No Man's Sky,"PlayStation 5, Nintendo Switch, Xbox One","Animated Blood, Fantasy Violence",Teen
Diablo III: Eternal Collection,Nintendo Switch,"Blood and Gore, Partial Nudity, Violence",Mature 17+
GUNGRAVE VR U.N,PlayStation 4,"Blood, Mild Language, Violence",Teen
Metro Exodus,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Partial Nudity, Sexual Themes, Strong Language, Use of Drugs",Mature 17+
A Plague Tale : Innocence,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Strong Language, Violence",Mature 17+
Tom Clancy's Ghost Recon Breakpoint,"Windows PC, PlayStation 4, Stadia, Xbox One","Blood, Intense Violence, Mild Sexual Themes, Strong Language",Mature 17+
WWE 2K20,"Windows PC, PlayStation 4, Xbox One","Alcohol Reference, Mild Blood, Mild Language, Suggestive Themes, Violence",Teen
Psychonauts,PlayStation 4,"Blood, Drug Reference, Fantasy Violence, Mild Language, Mild Suggestive Themes",Teen
Greedfall,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood, Language, Partial Nudity, Suggestive Themes, Violence",Mature 17+
Bayonetta,"PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Partial Nudity, Strong Language, Suggestive Themes",Mature 17+
Call of Duty®: Modern Warfare 2 Campaign Remastered,"Windows PC, PlayStation 4, Xbox One","Blood, Intense Violence, Strong Language",Mature 17+
Mafia II: Definitive Edition,"Windows PC, PlayStation 4, Stadia, Xbox One","Blood, Intense Violence, Nudity, Sexual Content, Strong Language, Use of Drugs and Alcohol",Mature 17+
Catherine: Full Body,Nintendo Switch,"Blood, Partial Nudity, Sexual Themes, Strong Language, Use of Alcohol, Violence",Mature 17+
Outriders,"Windows PC, PlayStation 4, PlayStation 5, Stadia, Xbox One, Xbox Series","Blood and Gore, Intense Violence, Strong Language, Suggestive Themes",Mature 17+
Metal Gear Solid,Windows PC,"Blood and Gore, Suggestive Themes, Violence",Mature 17+
Hyrule Warriors: Age of Calamity,Nintendo Switch,Fantasy Violence,Teen
Mortal Kombat 11,"PlayStation 5, Xbox Series","Blood and Gore, Intense Violence, Strong Language",Mature 17+
Cyanide & Happiness - Freakpocalypse,"PlayStation 4, Nintendo Switch, Xbox One","Blood, Cartoon Violence, Drug Reference, Mature Humor, Sexual Themes, Strong Language, Use of Tobacco",Mature 17+
Kingdom Hearts III + Re Mind,Windows PC,"Alcohol Reference, Fantasy Violence",Everyone 10+
NEO: The World Ends with You,"Windows PC, PlayStation 4, Nintendo Switch","Fantasy Violence, Language, Mild Suggestive Themes",Teen
HITMAN 3 - Free Starter Pack,"Windows PC, PlayStation 4, PlayStation 5, Stadia, Xbox One, Xbox Series","Blood, Drug Reference, Intense Violence, Strong Language",Mature 17+
RUST Console Edition,"PlayStation 4, Xbox One","Blood, Violence",Mature 17+
Ratchet & Clank: Rift Apart,PlayStation 5,"Alcohol Reference, Animated Blood, Fantasy Violence",Everyone 10+
Library of Ruina,"Windows PC, Xbox One, Xbox Series","Blood and Gore, Strong Language, Violence",Mature 17+
Forza Horizon 5,"Windows PC, Xbox One, Xbox Series",No Descriptors,Everyone
Dying Light,"PlayStation 5, Nintendo Switch, Xbox Series","Blood and Gore, Intense Violence, Strong Language",Mature 17+
The Elder Scrolls V: Skyrim Anniversary Edition,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore, Intense Violence, Language, Sexual Themes, Use of Alcohol",Mature 17+
Apex Legends,PlayStation 5,"Blood, Violence",Teen
Elex II,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore, Strong Language, Suggestive Themes, Violence",Mature 17+
Virtuaverse,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood, Drug Reference, Partial Nudity, Sexual Themes, Strong Language, Violence",Mature 17+
Inscryption,"PlayStation 4, PlayStation 5, Nintendo Switch","Blood, Strong Language, Violence",Mature 17+
Cult of the Lamb,"PlayStation 4, PlayStation 5, Nintendo Switch","Blood, Fantasy Violence",Teen
